STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW
US1CODN0159,"DENVER 4.6 S, CO US",39.6614,-104.9555,1648.7,5/2/2013,0.56,4.5
US1CODN0159,"DENVER 4.6 S, CO US",39.6614,-104.9555,1648.7,5/3/2013,0,0
US1CODN0159,"DENVER 4.6 S, CO US",39.6614,-104.9555,1648.7,5/6/2013,0,0
US1CODN0159,"DENVER 4.6 S, CO US",39.6614,-104.9555,1648.7,5/7/2013,0,0
US1CODN0159,"DENVER 4.6 S, CO US",39.6614,-104.9555,1648.7,5/8/2013,0.04,
US1CODN0159,"DENVER 4.6 S, CO US",39.6614,-104.9555,1648.7,5/9/2013,0.52,
US1CODN0159,"DENVER 4.6 S, CO US",39.6614,-104.9555,1648.7,5/23/2013,0,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,6/27/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,6/28/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,6/29/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,6/30/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/1/2015,0,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/2/2015,0,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/3/2015,0.08,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/4/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/5/2015,0.01,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/6/2015,0.02,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/7/2015,0.06,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/8/2015,0.05,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/9/2015,0.24,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/10/2015,0.08,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/11/2015,0.08,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/12/2015,0,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/13/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/14/2015,0,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/15/2015,0.22,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/16/2015,0.4,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/17/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/18/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/19/2015,0.28,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/20/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/21/2015,0,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/22/2015,0.06,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/23/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/24/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/25/2015,0.01,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/26/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/27/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/28/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/29/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/30/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,7/31/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/1/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/2/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/3/2015,0,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/4/2015,0,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/5/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/6/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/7/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/8/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/9/2015,0.03,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/10/2015,0.09,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/11/2015,0.13,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/12/2015,0.02,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/13/2015,0.07,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/14/2015,0.01,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/15/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/16/2015,0.09,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/17/2015,0.04,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/18/2015,0.02,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/19/2015,0.06,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/20/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/21/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/22/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/23/2015,0.04,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/24/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/25/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/26/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/27/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/28/2015,0.01,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/29/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/30/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,8/31/2015,0,0
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,9/1/2015,0.02,
US1CODN0236,"DENVER 4.6 ENE, CO US",39.7527,-104.8824,1622.1,9/2/2015,0,0
